so_dang_ky,ten_thuoc,hoat_chat,noi_dung_dieu_tri,ma_icd,trang_thai_xac_nhan,dang_bao_che,danh_muc,ham_luong,url_nguon
VD-26149-17,Mezapid,Rebamipid 100 mg,"Chỉ định Rebamipide
Loét dạ dày. Ðiều trị các thương tổn niêm mạc dạ dày (ăn mòn, chảy máu, đỏ, phù nề); trong viêm dạ dày cấp & đợt cấp của viêm dạ dày mạn.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-54110/mezapid.aspx
VN-9688-10,NifeHexal 30 LA,Nifedipine,"Chỉ định Nifedipine
Nifedipine 10mg: - Dự phòng cơn đau thắt ngực: đau thắt ngực do cố gắng, đau thắt ngực tự phát (bao gồm đau thắt ngực Prinzmetal): dùng đường uống. - Ðiều trị cơn cao huyết áp: ngậm dưới lưỡi. - Ðiều trị triệu chứng hiện tượng Raynaud nguyên phát hoặc thứ phát - Điều trị cơn: ngậm dưới lưỡi - Dự phòng tái phát: dùng đường uống. - Cao huyết áp. Nifedipine 30mg: - Cao huyết áp. - Ðau thắt ngực ổn định mãn tính (đau thắt ngực do gắng sức).",,Pending,Viên nén bao phim tác dụng kéo dài,,,https://thuocbietduoc.com.vn/thuoc-33584/nifehexal-30-la.aspx
VN-20800-17,Biseptol,Mỗi 5ml chứa: Sulfamethoxazol 200mg; Trimethoprim 40mg,"Chỉ định Sulfamethoxazole
Điều trị các nhiễm khuẩn do vi khuẩn nhạy cảm. - Nhiễm khuẩn tiết, sinh dục. - Nhiễm khuẩn hô hấp: viêm phế quản, viêm phổi, viêm xoang, viêm tai giữa... - Nhiễm khuẩn đường tiêu hoá.",,Pending,Hỗn dịch uống,,,https://thuocbietduoc.com.vn/thuoc-55165/biseptol.aspx
VD-3487-07,Fastcort,Methylprednisolone,"Chỉ định Methylprednisolone
Chỉ nên xem việc điều trị với các glucocorticoid như là việc điều trị triệu chứng, ngoại trừ trường hợp rối loạn nội tiết tố mà các thuốc này được dùng như một điều trị thay thế. Tiêm bắp: Methylprednisolone acetate không thích hợp trong các bệnh cấp nguy hại đến tính mạng. Nếu cần một tác động nội tiết tố với cường độ tối đa nhanh chóng, nên chỉ định tiêm tĩnh mạch methylprednisolone sodium succinate tan mạnh trong nước (Solu-Medrol). Khi không thể dùng thuốc theo đường uống và chế phẩm có thể thích hợp cho việc điều trị, tiêm bắp thịt được chỉ định như sau: Ðiều trị kháng viêm: Bệnh khớp: Ðiều trị hỗ trợ với một liệu pháp duy trì (giảm đau, liệu pháp vận động, vật lý trị liệu, vv) và điều trị trong một thời gian ngắn (để bệnh nhân vượt khỏi cơn cấp tính hoặc tình trạng tăng nặng của bệnh): - Viêm khớp do vẩy nến. - Viêm đốt sống do thấp. Ðối với các chỉ định sau đây, thường hay dùng tại chỗ nếu có thể: - Viêm xương khớp sau chấn thương. - Viêm bao hoạt dịch hay viêm xương khớp. - Viêm khớp dạng thấp, bao gồm viêm khớp trẻ em (các trường hợp đặc biệt cần phải sử dụng liệu pháp duy trì). - Viêm bao hoạt dịch cấp và bán cấp. - Viêm mõm lồi cầu. - Viêm bao gân cấp không đặc hiệu. - Viêm khớp cấp do bệnh thống phong. Bệnh tạo keo: Dùng trong pha tăng bệnh trầm trọng hay trong liệu pháp duy trì trong những trường hợp đặc biệt của: - Lupus (ban đỏ hệ thống). - Viêm tim cấp do thấp. - Viêm đa cơ. Bệnh về da: - Viêm da tấy (Pemphigus). - Ban đỏ đa dạng cấp tính (hội chứng Steven-Johnson). - Viêm da tróc vẩy. - Viêm da bóng nước do Herpes. - Viêm da tiết bả nhờn. - Bệnh vẩy nến nặng. - U sùi dạng nấm. Các trạng thái dị ứng: Kiểm soát các trạng thái dị ứng nặng hoặc khó trị đã thất bại với cách điều trị thông thường: - Hen phế quản. - Viêm da tiếp xúc. - Viêm da dị ứng. - Bệnh huyết thanh. - Viêm mũi dị ứng. - Dị ứng do dùng thuốc. - Phản ứng dịch truyền. - Phù thanh quản cấp tính không do nhiễm khuẩn. Các bệnh về mắt: Các tiến trình viêm và dị ứng cấp tính như: - Zona mắt. - Viêm mống mắt, viêm mống mắt thể mi. - Viêm màng mạch võng mạc. - Viêm màng mạch nho sau lan tỏa. - Viêm thần kinh thị. - Phản ứng nhạy cảm với thuốc. - Viêm tiền phòng mắt. - Viêm kết mạc dị ứng. - Loét giác mạc dị ứng. - Viêm giác mạc. Bệnh hệ tiêu hóa: Dùng để đưa bệnh nhân qua khỏi cơn nguy kịch của bệnh trong: - Viêm loét đại tràng. - Bệnh Crohn. Các tình trạng phù: - Ðể giúp bài niệu và giảm protein niệu trong hội chứng thận hư vô căn, không kèm urê máu cao, hay hội chứng thận hư do lupus ban đỏ. Bệnh của hệ hô hấp: - Bệnh Sarcoid phổi. - Ngộ độc berylli. - Lao phổi cấp hay lan tỏa khi đã được sử dụng thuốc kháng lao. - Hội chứng Loeffler không có khả năng dùng thuốc khác. - Viêm phổi hít. Ðiều trị các bệnh về huyêt học và ung thư: Các bệnh về huyết học: - Thiếu máu tán huyết mắc phải (tự miễn). - Giảm tiểu cầu thứ phát ở người lớn. - Giảm nguyên hồng cầu (thiếu máu RBC). - Thiếu máu giảm sản bẩm sinh (dòng hồng cầu). Bệnh ung thư: Ðiều trị tạm thời trong: - Bệnh bạch cầu và U lympho. - Bệnh bạch cầu cấp ở trẻ em. Các bệnh nội tiết: - Suy vỏ thượng thận tiên phát hay thứ phát. - Suy vỏ thượng thận cấp (hydrocortisone và cortisone là thuốc được ưu tiên chọn lựa). Những chất tương đồng tổng hợp có thể được dùng cùng với mineralocorticoid; ở trẻ em, sự cung cấp mineralocorticoid rất quan trọng. - Tăng sản thượng thận bẩm sinh. - Tăng calcium máu do ung thư. - Viêm tuyến giáp không sinh mủ. Tiêm vào bao hoạt dịch, túi hoạt dịch, quanh khớp hay mô mềm: Methylprednisolone acetate được chỉ định như một trị liệu hỗ trợ trong những đợt trị liệu ngắn ngày: - Viêm bao hoạt dịch của viêm xương khớp. - Viêm khớp dạng thấp. - Viêm bao hoạt dịch cấp và bán cấp. - Viêm khớp cấp do bệnh thống phong. - Viêm mõm lồi cầu. - Viêm bao gân cấp không đặc hiệu. - Viêm xương khớp sau chấn thương. Tiêm vào sang thương: Methylprednisolone acetate được chỉ định để tiêm vào trong sang thương trong những bệnh sau: - U sùi. - Các sang thương viêm trong phì đại tại chỗ, thâm nhiễm: mãng lichen, mãng vẩy nến, u hạt vòng và viêm da-thần kinh. - Rụng tóc từng vùng. Methylprednisolone acetate cũng được sử dụng trong bướu bàng quang hay u hạch thần kinh. Nhỏ giọt vào trực tràng: - Viêm loét đại tràng.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-15636/fastcort.aspx
VNA-0374-02,"Oresol 27,9g","sodium chloride, potassium chloride, sodium citrate, Glucose","Chỉ định Natri chloride
Bổ sung natri clorid và nước trong trường hợp mất nước: Ỉa chảy, sốt cao, sau phẫu thuật, mất máu. Phòng và điều trị thiếu hụt natri và clorid do bài niệu quá mức hoặc hạn chế quá mức, phòng co cơ (chuột rút); và mệt lả do ra mồ hôi quá nhiều vì nhiệt độ cao. Dung dịch tiêm natri clorid nhược trương (0,45%) được dùng chủ yếu làm dung dịch bồi phụ nước và có thể được sử dụng để đánh giá chức năng thận, để điều trị đái tháo đường tăng áp lực thẩm thấu. Dung dịch natri clorid đẳng trương (0,9%) được dùng rộng rãi để thay thế dịch ngoại bào và trong xử lý nhiễm kiềm chuyển hóa có mất dịch và giảm natri nhẹ và là dịch dùng trong thẩm tách máu, dùng khi bắt đầu và kết thúc truyền máu. Dung dịch ưu trương (3%, 5%) dùng cho trường hợp thiếu hụt natri clorid nghiêm trọng cần phục hồi điện giải nhanh (thiếu hụt natri clorid nghiêm trọng có thể xảy ra khi có suy tim hoặc giảm chức năng thận, hoặc trong khi phẫu thuật, hoặc sau khi phẫu thuật). Còn được dùng khi giảm natri và clor huyết do dùng dịch không có natri trong nước và điện giải trị liệu và khi xử lý trường hợp dịch ngoại bào pha loãng quá mức sau khi dùng quá nhiều nước (thụt hoặc truyền dịch tưới rửa nhiều lần vào trong các xoang tĩnh mạch mở khi cắt bỏ tuyến tiền liệt qua niệu đạo). Dung dịch tiêm natri clorid 20% được truyền nhỏ giọt qua thành bụng vào trong buồng ối để gây sẩy thai muộn trong 3 tháng giữa của thai kỳ (thai ngoài 16 tuần). Sau khi truyền nhỏ giọt qua thành bụng vào trong buồng ối, dung dịch này với liều được khuyên dùng, sẩy thai thường xảy ra trong vòng 72 giờ ở khoảng 97% người bệnh. Thuốc tiêm natri clorid 0,9% cũng được dùng làm dung môi pha tiêm truyền một số thuốc tương hợp.",,Pending,Thuốc bột,,,https://thuocbietduoc.com.vn/thuoc-19862/oresol-279g.aspx
VN-14218-11,Stugeron,Cinnarizine,"Chỉ định Cinnarizine
- Rối loạn tiền đình: điều trị duy trì các triệu chứng rối loạn mê đạo bao gồm chóng mặt, hoa mắt, choáng váng, ù tai, rung giật nhãn cầu, buồn nôn và nôn. - Phòng ngừa say sóng, say tàu xe và phòng ngừa chứng đau nửa đầu. - Ðiều trị duy trì các triệu chứng bắt nguồn từ mạch máu não bao gồm hoa mắt, choáng váng, ù tai, nhức đầu nguyên nhân mạch máu, rối loạn kích thích và khó hòa hợp, mất trí nhớ, kém tập trung. - Ðiều trị duy trì các triệu chứng rối loạn tuần hoàn ngoại biên bao gồm bệnh Raynaud, xanh tím đầu chi, đi khập khễnh cách hồi, rối loạn dinh dưỡng, loét giãn tĩnh mạch, tê rần, co thắt cơ buổi tối, lạnh đầu chi.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-41348/stugeron.aspx
VD-2478-07,Salbutamol 4mg,Salbutamol,"Chỉ định Salbutamol
Làm giảm và phòng ngừa co thắt phế quản ở bệnh nhân mắc bệnh tắc nghẽn đường thở có thể hồi biến.",,Pending,Viên nén,,,https://thuocbietduoc.com.vn/thuoc-19245/salbutamol-4mg.aspx
VD-23967-15,Esomeprazol Stada 40 mg,Esomeprazol (dưới dạng Esomeprazol magnesi dihydrat) 40 mg,"Chỉ định Esomeprazole
Esomeprazole sodium được chỉ định trong bệnh trào ngược dạ dày-thực quản trên bệnh nhân viêm thực quản và/hoặc có triệu chứng trào ngược nặng như là một liệu pháp thay thế cho dạng uống khi liệu pháp dùng qua đường uống không thích hợp.",,Pending,Viên nang cứng chứa vi hạt bao tan trong ruột,,,https://thuocbietduoc.com.vn/thuoc-51890/esomeprazol-stada-40-mg.aspx
VD-21005-14,Helinzole,"Omeprazol (dưới dạng vi hạt tan trong ruột chứa 8,5% omeprazol) 20mg","Điều trị loét đường tiêu hóa.
Hội chứng Zollinger-Ellison.",,Pending,Viên nang cứng,,,https://thuocbietduoc.com.vn/thuoc-46389/helinzole.aspx
VN-20450-17,Rosutrox,Rosuvastatin (dưới dạng Rosuvastatin calcium) 10mg,"Chỉ định Rosuvastatin
Tăng cholesterol máu nguyên phát (loại IIa kể cả tăng cholesterol máu di truyền gia đình kiểu dị hợp tử) hoặc rối loạn lipid máu hỗn hợp (loại IIb): là một liệu pháp hỗ trợ cho chế độ ăn kiêng khi bệnh nhân không đáp ứng đầy đủ với chế độ ăn kiêng và các liệu pháp không dùng thuốc khác (như tập thể dục, giảm cân). Tăng cholesterol máu gia đình kiểu đồng hợp tử: dùng hỗ trợ cho chế độ ăn kiêng và các biện pháp điều trị giảm lipid khác (như ly trích LDL máu) hoặc khi các liệu pháp này không thích hợp.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-58007/rosutrox.aspx
VN-6286-02,Duxil,"Raubasine, Almitrin Bismesylat","Chỉ định
Dược lực học


Duxil làm giàu oxygène cho máu động mạch, giải quyết được tình trạng thiếu oxy mô. Tác động của Duxil được chứng tỏ rất tốt trong các khảo sát trên động vật được gây thiếu oxy ở mô não, cũng như trong các nghiên cứu dược lý lâm sàng trên người.


Ở động vật, Duxil gây tăng áp suất riêng phần của oxy trong máu động mạch (PaO2);, do đó làm:


Tăng áp suất oxy đến mô (PO2) ở vỏ não.


Tăng sử dụng oxy ở mô não.


Hướng sự chuyển hóa ở tế bào não theo hướng hiếu khí với tăng năng lượng ở tế bào. Tác động của Duxil trên PaO2, PO2, trên mức độ sử dụng oxy ở não và điện não đồ chủ yếu là do tác động của almitrine. Đây là một hoạt chất chính của Duxil, mà tác động của nó được bổ sung về cường độ và thời gian bởi một hoạt chất chính khác là raubasine.


Ở người, các nghiên cứu dược lý lâm sàng cho phép kết luận rằng Duxil có những tác động như sau :


Tăng áp suất riêng phần của oxy trong máu động mạch (PaO2).


Tăng độ bão hòa về oxy ở động mạch (SaO2).


Giảm sự mất bão hòa về oxy ở động mạch khi gắng sức, kiểm tra động học được xem như là một trong những biện pháp tốt nhất hiện nay để đánh giá hiệu quả điều trị thiếu oxy mô.


Tăng hàm lượng trong máu của 2-3 diphosphoglycérate, là một dạng tồn tại của oxy trong máu động mạch.


Hoạt hóa sự chuyển hóa ở mô não được xác nhận qua các kiểm tra về glucose, nghiên cứu điện sinh vỏ não bằng điện não đồ định lượng.


Sự cải thiện các thông số đo khí có liên quan đến sự tăng hiệu suất của quá trình trao đổi khí ở phế nang, được gây bởi almitrine, hoạt chất chính của Duxil mà không làm biến đổi các chỉ số thông khí.


Trong các trường hợp sau tai biến mạch máu não, các nghiên cứu được thực hiện nhờ vào phương pháp chụp cắt lớp phát xạ positron và photon cho thấy dưới tác dụng của Duxil, mối tương quan tưới máu/ chuyển hóa đạt được tối ưu và có cải thiện sự tưới máu dự trữ não.


Dược động học


Almitrine được hấp thu nhanh và đạt đỉnh hấp thu trong huyết tương 3 giờ sau khi uống thuốc. Thuốc chủ yếu được chuyển hóa ở gan.


Almitrine và các chất chuyển hóa chủ yếu được bài tiết qua mật.


Thuốc được đào thải qua phân và nước tiểu dưới dạng các chất chuyển hóa không có hoạt tính. Sau khi dùng một liều duy nhất, thuốc có thời gian bán hủy đào thải trong khoảng 40 đến 80 giờ ; thời gian này là 30 ngày sau khi dùng lặp lại. Gắn kết với protéine huyết tương cao (trên 99%). Raubasine được hấp thu nhanh và đạt đỉnh hấp thu trong huyết tương từ 1 đến 2 giờ sau khi uống thuốc. Sau khi dùng liều duy nhất, chất này có thời gian đào thải trong khoảng 7 đến 15 giờ ; thời gian này là 11 giờ sau khi dùng lặp lại.


Chỉ định


Duxil được dùng điều trị các triệu chứng giảm sút trí tuệ bệnh lý ở người già (như không tập trung, mất trí nhớ...). Duxil được đề nghị trong :


Các rối loạn màng mạch-võng mạc có nguồn gốc do thiếu máu cục bộ.


Các rối loạn tiền đình ốc tai có nguồn gốc do thiếu máu cục bộ. Duxil được chỉ định sau các tai biến thiếu máu não cục bộ.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-18754/duxil.aspx
VD-28902-18,Davyca,Pregabalin 75mg,"Chỉ định Pregabalin
Điều trị đau thần kinh nguồn gốc trung ương và ngoại vi, rối loạn lo âu lan tỏa ở người lớn. Điều trị bổ trợ động kinh cục bộ kèm hoặc không kèm động kinh toàn thể ở người lớn.",,Pending,Viên nang cứng,,,https://thuocbietduoc.com.vn/thuoc-55782/davyca.aspx
VN-1503-06,DBL Methotrexate 50mg/2ml inj,Methotrexate,"Chỉ định Methotrexate
Methotrexate có thể phổ chống ung thư rộng và có thể được dùng đơn độc hoặc phối hợp với các thuốc khác. Có chỉ định trong các trường hợp sau: - Liệu pháp một thuốc trong điều trị ung thư: ung thư vú, ung thư biểu mô màng đệm, u tuyến màng đệm, thai trứng. - Liệu pháp phối hợp điều trị ưng thư: bạch cầu cấp (đặc biệt là bạch cầu cấp dòng nguyên bào lymphô hay dòng nguyên tủy bào);, u lymphô Burkitt, lymphosarcom giai đoạn muộn (III và IV, theo hệ thống Peter) và u sùi dạng nấm giai đoạn muộn. - Tiêm trong vỏ não: trong trường hợp di căn màng não (chỉ dùng chế phẩm đẳng trương). - Dùng liều cao: Methotrexate có thể dùng liều cao đơn độc hoặc phối hợp với thuốc khác để điều trị các trường hợp sau đây: sarcom tạo xương, bạch cầu cấp, ung thư biểu mô phế quản, hoặc ung thư biểu bì vùng đầu cổ. Khi dùng liều cao, luôn luôn phải phối hợp với leucovorin. Leucovorin (acid folinic) là một dẫn chất của tetrahydrofolate và cạnh tranh với methotrexate để vào trong tế bào. ""Leucovorin cứu hộ"" giúp bảo vệ tế bào mô lành chống lại tác dụng giết tế bào của methotrexate liều cao. - Hóa trị liệu vảy nến: methotrexate được dùng để điều trị chứng vảy nến nặng, khó trị, gây tàn phế, không đáp ứng với các thuốc thường dùng. Tuy nhiên, do nguy cơ kèm theo của methotrexate, chỉ dùng thuốc này sau khi đã xác định chẩn đoán bằng sinh thiết và/hoặc khám da.",,Pending,Dung dịch tiêm-50mg/2ml,,,https://thuocbietduoc.com.vn/thuoc-15555/dbl-methotrexate-50mg2ml-inj.aspx
VN-14919-12,Tracutil,Các muối: Sắt Chlorid; Kẽm Chlorid; Mangan Chlorid; Đồng Chlorid; Crom Chlorid; Natri Selenit; Kali Iodid; ...,"Chỉ định
Cung cấp nhu cầu nguyên tố vi lượng cơ bản trong dinh dưỡng qua đường tĩnh mạch dài ngày ở người lớn.",,Pending,Dung dịch tiêm truyền,,,https://thuocbietduoc.com.vn/thuoc-42299/tracutil.aspx
VN-18267-14,Merugold I.V,Meropenem (dưới dạng Meropenem trihydrat) 1g,"Chỉ định Meropenem
Meropenem được chỉ định trong điều trị các nhiễm khuẩn ở người lớn và trẻ em gây ra bởi một hay nhiều vi khuẩn nhạy cảm với meropenem như sau: • Viêm phổi và viêm phổi bệnh viện. • Nhiễm khuẩn đường niệu. • Nhiễm khuẩn trong ổ bụng. • Nhiễm khuẩn phụ khoa, như viêm nội mạc tử cung và các bệnh lý viêm vùng chậu. • Nhiễm khuẩn da và cấu trúc da. • Viêm màng não. • Nhiễm khuẩn huyết. Meropenem đơn trị liệu hay phối hợp với các thuốc kháng khuẩn khác đã được chứng minh là hiệu quả trong điều trị nhiễm khuẩn hỗn hợp. Chưa có kinh nghiệm sử dụng thuốc ở trẻ em giảm bạch cầu trung tính hay suy giảm miễn dịch nguyên phát hoặc thứ phát.",,Pending,"Bột pha tiêm, truyền tĩnh mạch",,,https://thuocbietduoc.com.vn/thuoc-47097/merugold-iv.aspx
VD-20445-14,Polyclox 1000,Amoxicilin 500 mg; Cloxacilin 500 mg,"Chỉ định Amoxicilin
Ðiều trị các nhiễm khuẩn do các vi khuẩn nhạy cảm với thuốc tại các vị trí sau: 
- Ðường hô hấp trên (bao gồm cả Tai Mũi Họng); như: viêm amiđan, viêm xoang, viêm tai giữa; 
- Ðường hô hấp dưới, như đợt cấp của viêm phế quản mãn, viêm phổi thùy và viêm phổi phế quản; 
- Ðường tiêu hóa: như sốt thương hàn; 
- Ðường niệu dục: như viêm thận-bể thận, lậu, sảy thai nhiễm khuẩn hay nhiễm khuẩn sản khoa. Các nhiễm khuẩn như nhiễm khuẩn huyết, viêm nội tâm mạc và viêm màng não do vi khuẩn nhạy cảm với thuốc nên được điều trị khởi đầu theo đường tiêm với liều cao và, nếu có thể, kết hợp với một kháng sinh khác. 
- Dự phòng viêm nội tâm mạc: Amoxicillin có thể được sử dụng để ngăn ngừa du khuẩn huyết có thể phát triển viêm nội tâm mạc. Tham khảo thông tin kê toa đầy đủ về các vi khuẩn nhạy cảm.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-46783/polyclox-1000.aspx
VN-10397-10,Pylomed,Lansoprazole 30mg; Tinidazol 500mg; Clarithromycin 250mg,"Chỉ định Lansoprazole
Loét dạ dày, loét tá tràng, viêm thực quản trào ngược và hội chứng Zollinger-Ellison.",,Pending,"Kit đựng viên nang, viên nén bao phim",,,https://thuocbietduoc.com.vn/thuoc-33853/pylomed.aspx
VN-19597-16,Esovex-40,"Esomeprazol sodium (tương đương 40 mg esomeprazole) 42,55mg","Chỉ định Esomeprazole
Esomeprazole sodium được chỉ định trong bệnh trào ngược dạ dày-thực quản trên bệnh nhân viêm thực quản và/hoặc có triệu chứng trào ngược nặng như là một liệu pháp thay thế cho dạng uống khi liệu pháp dùng qua đường uống không thích hợp.",,Pending,Bột đông khô pha tiêm,,,https://thuocbietduoc.com.vn/thuoc-50706/esovex-40.aspx
VD-1520-06,Cetirizine stada 10mg,Cetirizine dihydrochloride,"Chỉ định Cetirizine
Cetirizine được chỉ định trong điều trị triệu chứng viêm mũi dị ứng dai dẳng, viêm mũi dị ứng theo mùa, mày đay mạn tính vô căn ở người lớn và trẻ em trên 12 tuổi và viêm mũi dị ứng theo mùa ở trẻ em trên 12 tuổi, viêm kết mạc dị ứng.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-7482/cetirizine-stada-10mg.aspx
VD-26501-17,Nerazzu-HCT,"Losartan kali 50mg; Hydrochlorothiazid 12,5mg","Chỉ định Losartan
Tăng huyết áp: Kalium Losartan được chỉ định để điều trị tăng huyết áp. - Giảm nguy cơ mắc và tử vong do tim mạch cho người bệnh tăng huyết áp có phì đại thất trái. Kalium Losartan được chỉ định để làm giảm nguy cơ mắc và tử vong do tim mạch được đo bằng các biến cố phối hợp như tử vong do tim mạch, đột quỵ, nhồi máu cơ tim trên người bệnh tăng huyết áp có phì đại thất trái. - Bảo vệ thận cho người bệnh tiểu đường loại 2 có protein niệu: Kalium Losartan được chỉ định để làm chậm lại quá trình diễn tiến bệnh thận, được xác định bằng bằng sự giảm tỷ lệ biến cố phối hợp tăng gấp đôi hàm lượng creatinine máu, giai đoạn cuối của bệnh thận (cần thẩm phân lọc máu hoặc ghép thận), hoặc tử vong và làm giảm protein niệu.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-54462/nerazzu-hct.aspx
VD-21972-14,Sepratis,Ciprofloxacin (dưới dạng ciprofloxacin HCl) 500mg,"Chỉ định Ciprofloxacin
Các bệnh nhiễm trùng có biến chứng và không biến chứng gây ra do các bệnh nguyên nhạy cảm với ciprofloxacin. 


- Các bệnh nhiễm trùng của: 
*Đường hô hấp. Trong các trường hợp viêm phổi do phế cầu (Pneumococcus) ở bệnh nhân ngoại trú, không nên dùng Ciprofloxacin như là một thuốc đầu tay. Tuy nhiên Ciprofloxacin có thể được dùng trong trường hợp viêm phổi do Klebsiella, Enterobacter, Proteus, Pseudomonas, Haemophilus, Branhamella, Legionella và Staphylococcus. . Tai giữa (viêm tai giữa) và các xoang (viêm xoang), đặc biệt nguyên nhân do vi khuẩn gram âm, kể cả Pseudomonas hay Staphylococcus. .
*Mắt. . Thận và/hoặc đường tiết niệu. . Cơ quan sinh dục, kể cả bệnh lậu, viêm phần phụ, viêm tiền liệt tuyến. . Ổ bụng (như nhiễm trùng đường tiêu hóa hoặc đường mật, viêm phúc mạc). 
* Da và mô mềm. 
* Xương khớp. 
*Nhiễm trùng huyết. 
*Nhiễm trùng hoặc có nguy cơ nhiễm trùng (dự phòng) trên bệnh nhân có hệ miễn dịch suy yếu (như bệnh nhân bị suy giảm miễn dịch hoặc có tình trạng giảm bạch cầu). 
- Chỉ định cho tình trạng khử nhiễm ruột có chọn lọc trên bệnh nhân suy giảm miễn dịch (Ciprofloxacin dạng uống).",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-48591/sepratis.aspx
VN-10092-05,Biofazolin,Cefazoline,"Chỉ định Cefazoline
Nhiễm trùng do các chủng nhạy cảm ở miệng, tai-mũi-họng, phế quản-phổi, tiết niệu-sinh dục, nhiễm trùng máu, viêm nội tâm mạc, ngoài da, thanh mạc, xương khớp.",,Pending,Bột pha dung dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-5579/biofazolin.aspx
VN-18214-14,Bilobil Forte 80mg,Ginkgo biloba (Cao khô lá Ginkgo biloba) 80mg,"Chỉ định Ginkgo biloba
- Ðiều trị mất trí nhớ ngắn hạn, suy giảm tâm thần, thiếu nhạy bén và minh mẫn tâm thần, trầm cảm, khó khăn trong việc tập trung tư tưởng. 
- Ðiều trị các rối loạn chức năng cơ hữu của não, có kèm theo sự sa sút trí tuệ. 
- Ðiều trị hội chứng khập khễnh gián cách, bệnh võng mạc (thoái hóa vết chấm, bệnh võng mạc thuộc đái tháo), các hội chứng thuộc thiểu năng tai trong (nhức đầu, chóng mặt, ù tai...), lãng tai ở người cao tuổi. Di chứng sau các tai nạn huyết mạch thuộc não và chấn thương sọ. 
- Trạng thái lão suy (kể cả bệnh Alzheimer), chứng bất lực. 
- Chứng giòn mao mạch. 
- Hội chứng trước kinh nguyệt, nhức đầu... 
- Thuốc đã chứng tỏ là chất bổ sung thực phẩm rất tốt cho nhiều người, và đã tạo nên một cảm giác toàn hảo về sức khỏe rất tốt, đặc biệt ở các người cao tuổi.",,Pending,Viên nang cứng,,,https://thuocbietduoc.com.vn/thuoc-47044/bilobil-forte-80mg.aspx
VD-25652-16,Bromhexine A.T,Bromhexin hydroclorid 4mg/5ml,"Chỉ định
Làm loãng đờm trong các bệnh nhiễm khuẩn đường hô hấp cấp hoặc mạn có ho xuất tiết.",,Pending,Dung dịch uống,,,https://thuocbietduoc.com.vn/thuoc-53609/bromhexine-at.aspx
VD-30237-18,Ống hít sao vàng,"Mỗi ống hít chứa 1,5g gồm: Menthol 769 mg; Camphor 145 mg; Tinh dầu đinh hương 321,5 mg; Tinh dầu quế 7,5 mg; Tinh dầu tràm 60: 65 mg","Chỉ định Camphor
Chữa cảm cúm.
Sát khuẩn không khí, xua đuổi côn trùng.
Giảm đau nhức chân tay.
Chống bệnh trầm cảm.
Chống viêm, kháng khuẩn, chống co thắt.
Hỗ trợ điều trị hạ huyết áp, an thần.
Giảm chứng mất ngủ.
Kích thích miễn dịch.
Giúp tái tạo tế bào mới, chăm sóc da và giảm lão hóa.",,Pending,Dung dịch,,,https://thuocbietduoc.com.vn/thuoc-59166/ong-hit-sao-vang.aspx
VN-19343-15,Sanlein 0.3,Natri hyaluronat15mg/ml,"Chỉ định Natri hyaluronat
Thuốc nhỏ mắt:
Tổn thương biểu mô giác, kết mạc do nội tại: hội chứng Sjogren, hội chứng Stevens-Johnson, hội chứng khô mắt & những bệnh khác; do tác động bên ngoài: phẫu thuật, thuốc, chấn thương, mang kính sát tròng & các nguyên nhân khác.
Thuốc tiêm:
 Điều trị chứng đau trong thoái hoá khớp gối cho người dùng liệu pháp không thuốc (giảm cân) và dùng các thuốc giảm đau thông thường khác không có hiệu quả",,Pending,Dung dịch nhỏ mắt,,,https://thuocbietduoc.com.vn/thuoc-49554/sanlein-03.aspx
VD-21351-14,Savi Eperisone 50,Eperison hydroclorid 50mg,"Chỉ định Eperisone
Cải thiện các triệu chứng tăng trương lực cơ liên quan đến những bệnh sau: hội chứng đốt sống cổ, viêm quanh khớp vai và thắt lưng. 
Liệt cứng liên quan đến những bệnh sau: bệnh mạch máu não, liệt cứng do tủy, thoái hóa đốt sống cổ, di chứng sau phẫu thuật (bao gồm cả u não tủy), di chứng sau chấn thương (chấn thương tủy, tổn thương đầu), xơ cứng cột bên teo cơ, bại não, thoái hóa tủy, bệnh mạch máu tủy và các bệnh lý não tủy khác.",,Pending,Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-47970/savi-eperisone-50.aspx
VD-5821-08,Zoliicef,Cefazolin natri,"Chỉ định Cefazoline
Nhiễm trùng do các chủng nhạy cảm ở miệng, tai-mũi-họng, phế quản-phổi, tiết niệu-sinh dục, nhiễm trùng máu, viêm nội tâm mạc, ngoài da, thanh mạc, xương khớp.",,Pending,Bột pha tiêm,,,https://thuocbietduoc.com.vn/thuoc-27853/zoliicef.aspx
