so_dang_ky,ten_thuoc,hoat_chat,noi_dung_dieu_tri,dang_bao_che,danh_muc,ham_luong,url_nguon
VD-5852-08,Plahasan,Clopidogrel bisulfat,"Chỉ định Clopidogrel
Dự phòng nguyên phát các rối loạn do nghẽn mạch huyết khối như nhồi máu cơ tim, đột quỵ & bệnh động mạch ngoại biên. Kiểm soát & dự phòng thứ phát, ở bệnh nhân xơ vữa động mạch mới bị đột quỵ, mới bị nhồi máu cơ tim, hoặc bệnh động mạch ngoại biên đã xác định.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-27884/plahasan.aspx
VD-28277-17,Zytovyrin,Ezetimib 10 mg,"Chỉ định Ezetimib
Ezetimibe được sử dụng cùng với một chế độ ăn ít chất béo, ít cholesterol và tập thể dục để giúp giảm lượng cholesterol trong máu. Ezetimibe có thể được sử dụng một mình hoặc với các thuốc khác (chẳng hạn như statin hoặc fibrate);. Ezetimibe hoạt động bằng cách làm giảm lượng cholesterol cơ thể hấp thu từ chế độ ăn uống. Giảm cholesterol có thể giúp ngăn ngừa đột quỵ và đau tim.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-59069/zytovyrin.aspx
VD-23128-15,Livergenol,L-Arginin HCl 400 mg,"Chỉ định L-Arginin
Được sử dụng trong các rối loạn chức năng gan. Điều trị hỗ trợ các rối loạn khó tiêu. Tăng amoniac huyết bẩm sinh hoặc do suy giảm chu trình ure.",Viên nang mềm,,,https://thuocbietduoc.com.vn/thuoc-50182/livergenol.aspx
VN-14264-11,Glucophage XR,Metformin Hydrochloride,"Chỉ định Metformin
Metformin hydrochloride là một biguanide hạ đuờng huyết dùng điều trị bệnh tiểu đường không phụ thuộc insulin khi không thể kiểm soát đường huyết bằng chế độ ăn kiêng đơn thuần. Thuốc có thể được kê toa ở những bệnh nhân không còn đáp ứng với các sulfonylurea, thêm vào dẫn chất sulfonylurea đang sử dụng. Ở bệnh nhân béo phì thuốc có thể gây ra giảm cân có lợi, đôi khi tác dụng này là lý do căn bản của sự kết hợp insulin và metformin ở bệnh tiểu đường phụ thuộc insulin.",Viên nén phóng thích kéo dài,,,https://thuocbietduoc.com.vn/thuoc-43420/glucophage-xr.aspx
VN-1533-06,Neo-fluocin,"Fluocinolone acetonide, Neomycin sulfate","Chỉ định Fluocinolone
Fluocinolon acetonid được dùng ngoài để điều trị các bệnh ngoài da khác nhau như: Eczema: eczema tiết bã, eczema hình đĩa, eczema dị ứng. Viêm da: viêm da dị ứng, viêm da tiếp xúc, viêm da thần kinh. Vảy nến(ngoại trừ dạng vảy nến lan rộng). Liken phẳng, lupus ban đỏ hình đĩa.",Kem,,,https://thuocbietduoc.com.vn/thuoc-11528/neo-fluocin.aspx
VN-1031-06,Trimesotex 100mg,Trimebutine maleate,"Chỉ định Trimebutine
Triệu chứng do hội chứng ruột kích thích(kết tràng co thắt);. Tắc liệt ruột sau phẫu thuật, thúc đẩy hồi phục hoạt động của ruột sau phẫu thuật ổ bụng. 
Khoa tiêu hóa: 
 - Hội chứng trào ngược dạ dày thực quản và khe thoát vị. 
- Loét dạ dày - tá tràng - Rối loạn dạ dày - ruột gây bởi loét dạ dày - tá tràng như đau dạ dày, khó tiêu, buồn nôn và nôn.  
Khoa ngoại: 
- Liệt ruột sau phẫu thuật, giảm tắc ruột. 
Khoa nhi: 
- Thói quen buồn nôn, rối loạn dạ dày - ruột không do nhiễm trùng (táo bón, tiêu chảy).",Viên nén-100mg,,,https://thuocbietduoc.com.vn/thuoc-21787/trimesotex-100mg.aspx
VD-24927-16,Độc hoạt tang ký sinh. VT,"Mỗi 5g hoàn cứng chứa: Độc hoạt 0,5g; Xuyên khung 0,5g; Thục địa 0,5g; Ngưu tất 0,5g; Đương quy 0,25g; Phục linh 0,25g; Tế tân 0,1g; Tang ký sinh 0,5g; Bạch thược 0,5g; Đỗ trọng 0,5g; Tần giao 0,5g; Phòng phong 0,25g; Quế chi 0,25g; Cam thảo 0,1g","Chỉ định Độc Hoạt
+ Chủ phong hàn, kim sang, phụ nữ bị chứng sán hà, uống lâu người nhẹ khỏe.
+ Trị các loại phong, các khớp đau do phong.
+ Trị các loại phong thấp lạnh, hen suyễn, nghịch khí, da cơ ngứa khó chịu chân tay giật đau, lao tổn, phong độc đau.
+ Trị chứng phong thấp tý thống, thiếu âm đầu thống, ngứa ngoài da do thấp, phong hàn biểu chứng.
+ Trị phong hàn thấp tý, lưng gối đau, tay chân co rút, đau, khí quản viêm mạn, đầu đau, răng đau.
+ Trị phong thấp, phong hàn biểu chứng, đau thắt lưng đùi .",Viên hoàn cứng,,,https://thuocbietduoc.com.vn/thuoc-52917/doc-hoat-tang-ky-sinh-vt.aspx
VD-21715-14,Dextrose 30 %,"Dextrose tương đương Dextrose khan 0,3g/ml","Chỉ định Dextrose
– Cung cấp nước và năng lượng cho cơ thể. 
– Giải độc trong trường hợp nhiễm khuẩn cấp và mạn, thuốc ngủ, ngộ độc do cyanide,sốc, viêm gan hoặc xơ gan. 
– Chất dẫn để truyền thuốc vào cơ thể trước, trong và sau phẫu thuật. 
– Phòng ngừa và điều trị chứng nhiễm ceton huyết trong các trường hợp suy dinh dưỡng. 
– Dùng cho chứng giảm dextrose huyết",Dung dịch tiêm truyền,,,https://thuocbietduoc.com.vn/thuoc-48334/dextrose-30.aspx
VN-20790-17,Neffrole,Rabeprazole natri 20mg,"Chỉ định Rabeprazole
Bệnh lý hồi lưu dạ dày thực quản, loét tá tràng & hội chứng Zollinger-Ellison.",Viên nén bao tan ở ruột,,,https://thuocbietduoc.com.vn/thuoc-57357/neffrole.aspx
VN-2677-07,Taxetil,Cefpodoxime proxetil,"Chỉ định Cefpodoxime
Cefpodoxime proxetil được chỉ định để điều trị các nhiễm khuẩn sau đây: - Nhiễm khuẩn hô hấp trên bao gồm viêm tai giữa cấp, viêm xoang, viêm amiđan và viêm họng. - Viêm phổi cấp tính mắc phải trong cộng đồng. - Nhiễm lậu cầu cấp chưa có biến chứng. - Nhiễm khuẩn đường tiểu chưa có biến chứng. - Nhiễm khuẩn da và cấu trúc da.",Bột pha hỗn dịch-sau khi pha: 40mg Cefpodoxime/5ml,,,https://thuocbietduoc.com.vn/thuoc-6415/taxetil.aspx
VN-19703-16,Montemac 5,Montelukast (dưới dạng Montelukast natri) 5mg,"Chỉ định Montelukast
Montelukast được sử dụng để ngăn chặn các triệu chứng thở khò khè, khó thở, tức ngực và ho do hen suyễn. 
Montelukast cũng được sử dụng để ngăn ngừa co thắt phế quản (khó thở); trong khi tập luyện, điều trị các triệu chứng của viêm mũi dị ứng cấp tính hoặc mãn tính (các triệu chứng của viêm mũi dị ứng như: hắt hơi và ngạt mũi, chảy nước mũi hoặc ngứa mũi). Montelukast là thuốc đối kháng thụ thể leukotrien (LTRAs).",Viên nén nhai,,,https://thuocbietduoc.com.vn/thuoc-50812/montemac-5.aspx
VN-16334-13,Opelan-5,Olanzapine 5mg,"Chỉ định Olanzapine
Olanzapine dùng để điều trị tấn công và điều trị duy trì bệnh tâm thần phân liệt, cũng như các bệnh loạn thần khác mà có những biểu hiện rõ rệt của các triệu chứng dương tính (ví dụ như hoang tưởng, ảo giác, rối loạn suy nghĩ, thù địch và nghi ngờ) và/hoặc các triệu chứng âm tính (ví dụ như cảm xúc phẳng lặng, lãnh đạm, thu mình lại, ngôn ngữ nghèo nàn).",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-44087/opelan-5.aspx
VD-25620-16,Maxxflame - C,Celecoxib 200 mg,"Chỉ định Celecoxib
Ðiều trị triệu chứng bệnh viêm xương khớp, viêm khớp dạng thấp ở người trưởng thành.",Viên nang cứng (trắng-trắng);,,,https://thuocbietduoc.com.vn/thuoc-53577/maxxflame-c.aspx
VN-2787-07,AB Ausbiobone,"Glucosamine sulfate kali chloride, Chondroitin sulfate shark, Manganese gluconate","Chỉ định Glucosamine
Tất cả các bệnh thoái hóa xương khớp, thoái khớp nguyên phát và thứ phát như thoái khớp gối, háng tay, thoái hóa cột sống, vai, viêm quanh khớp, loãng xương, gãy xương teo khớp, viêm khớp mãn và cấp.",Viên nang,,,https://thuocbietduoc.com.vn/thuoc-12096/ab-ausbiobone.aspx
VD-1066-06,Dopagan Effervescent 500mg,Paracetamol,"Chỉ định Paracetamol
Paracetamol được dùng rộng rãi trong điều trị các chứng đau và sốt từ nhẹ đến vừa. 
* Giảm đau: 
Paracetamol được dùng giảm đau tạm thời trong điều trị chứng đau nhẹ và vừa: đau đầu, đau răng, đau bụng kinh... Thuốc có hiệu quả nhất là giảm đau cường độ thấp có nguồn gốc không phải nội tạng. Paracetamol không có tác dụng trị thấp khớp. Paracetamol là thuốc thay thế salicylat (được ưa thích ở người bệnh chống chỉ định hoặc không dung nạp salicylat) để giảm đau nhẹ hoặc hạ sốt. 
* Hạ sốt:


Paracetamol thường được dùng để giảm thân nhiệt ở người bệnh sốt, khi sốt có thể có hại hoặc khi hạ sốt nói chung không đặc hiệu, không ảnh hưởng đến tiến trình của bệnh cơ bản và có thể che lấp tình trạng bệnh của người bệnh.",Viên nén sủi,,,https://thuocbietduoc.com.vn/thuoc-17508/dopagan-effervescent-500mg.aspx
VH-19007-15,Nolvadex-D,Tamoxifen (dưới dạng tamoxifen citrat) 20mg,"Chỉ định Tamoxifen
Ung thư vú phụ thuộc hormone & các di căn của chúng.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-49074/nolvadex-d.aspx
VD-30636-18,Tuspi,Paracetamol 500 mg,"Chỉ định
Hạ sốt, giảm đau cho trẻ trong các trường hợp: cảm, cúm, sốt xuất huyết, nhiễm khuẩn, nhiễm siêu vi, mọc răng, sau khi tiêm chủng, sau phẫu thuật,…",Viên nén sủi bọt,,,https://thuocbietduoc.com.vn/thuoc-59565/tuspi.aspx
VD-26380-17,Paracold 150 Flu,"Mỗi gói 1,5g chứa: Paracetamol 150mg; Chlorpheniramin maleat 1mg","Chỉ định
– Sốt, đau đầu, đau nhức cơ bắp, đau khớp. 
– Nhiễm trùng đường hô hấp trên gây hắt hơi, chảy nước mắt, nghẹt mũi, sổ mũi, ớn lạnh. 
– Viêm xoang mũi do nhiễm khuẩn hay thời tiết, viêm mũi dị ứng. 


Dược lực:


– Paracetamol là thuốc giảm đau – hạ sốt hữu hiệu.
– Chlorpheniramin là thuốc kháng histamin H1 có tác dụng trị viêm mũi, dị ứng.


Dược động học:


– Paracetamol: Hấp thu nhanh chóng và hầu như hoàn toàn qua đường tiêu hoá. Nồng độ đỉnh trong huyết tương đạt trong vòng 30 – 60 phút. Phân bố nhanh và đồng đều trong phần lớn các mô của cơ thể. Thời gian bán hủy khoảng 2 giờ. Chuyển hoá ở gan. Đào thải qua nước tiểu chủ yếu dưới dạng liên hợp với glucuronic.
– Chlorpheniramin: Hấp thu tốt khi uống và xuất hiện trong huyết tương trong vòng 30 – 60 phút. Chuyển hoá nhanh và nhiều. Thời gian bán thải là 12 – 15 giờ, ở người bệnh suy thận mạn thời gian bán hủy kéo dài. Thuốc được bài tiết chủ yếu qua nước tiểu dưới dạng không đổi hoặc chuyển hoá, sự bài tiết phụ thuộc vào pH và lưu lượng nước tiểu.",Thuốc bột sủi bọt,,,https://thuocbietduoc.com.vn/thuoc-54341/paracold-150-flu.aspx
VD-21707-14,Xacimax new,Amoxicillin (dưới dạng Amoxicilin trihydrat) 500 mg; Cloxacilin (dưới dạng Cloxacilin natri) 250 mg,"Chỉ định Cloxacillin
Nhiễm khuẩn do Staphylococcus sinh penicillinase: nhiễm khuẩn xương khớp, nhiễm khuẩn huyết, viêm nội tâm mạc, viêm phúc mạc, viêm phổi, nhiễm khuẩn da. 
Dự phòng các nhiễm khuẩn phẫu thuật.",Viên nén,,,https://thuocbietduoc.com.vn/thuoc-48326/xacimax-new.aspx
VN-6798-08,Lantus,Insulin glargine,"Chỉ định Insulin glargine
Điều trị đái tháo đường typ I( đái tháo đường phụ thuộc insulin); Điều trị đái tháo đường typ II khi các thuốc chống đái tháo đường tổng hợp không còn hiệu quả. Trẻ em gầy yếu, kém ăn, suy dinh dưỡng, nôn nhiều và rối loạn chuyển hoá đường( truyền glucose kết hợp với insulin). Gây cơn shock insulin để điều trị bệnh tâm thần( tạo cơn hạ glucose huyết đột ngột và mạnh).",Dung dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-28786/lantus.aspx
VNB-0013-02,"EfTicol 0,9%",sodium chloride,"Chỉ định Natri chloride
Bổ sung natri clorid và nước trong trường hợp mất nước: Ỉa chảy, sốt cao, sau phẫu thuật, mất máu. Phòng và điều trị thiếu hụt natri và clorid do bài niệu quá mức hoặc hạn chế quá mức, phòng co cơ (chuột rút); và mệt lả do ra mồ hôi quá nhiều vì nhiệt độ cao. Dung dịch tiêm natri clorid nhược trương (0,45%) được dùng chủ yếu làm dung dịch bồi phụ nước và có thể được sử dụng để đánh giá chức năng thận, để điều trị đái tháo đường tăng áp lực thẩm thấu. Dung dịch natri clorid đẳng trương (0,9%) được dùng rộng rãi để thay thế dịch ngoại bào và trong xử lý nhiễm kiềm chuyển hóa có mất dịch và giảm natri nhẹ và là dịch dùng trong thẩm tách máu, dùng khi bắt đầu và kết thúc truyền máu. Dung dịch ưu trương (3%, 5%) dùng cho trường hợp thiếu hụt natri clorid nghiêm trọng cần phục hồi điện giải nhanh (thiếu hụt natri clorid nghiêm trọng có thể xảy ra khi có suy tim hoặc giảm chức năng thận, hoặc trong khi phẫu thuật, hoặc sau khi phẫu thuật). Còn được dùng khi giảm natri và clor huyết do dùng dịch không có natri trong nước và điện giải trị liệu và khi xử lý trường hợp dịch ngoại bào pha loãng quá mức sau khi dùng quá nhiều nước (thụt hoặc truyền dịch tưới rửa nhiều lần vào trong các xoang tĩnh mạch mở khi cắt bỏ tuyến tiền liệt qua niệu đạo). Dung dịch tiêm natri clorid 20% được truyền nhỏ giọt qua thành bụng vào trong buồng ối để gây sẩy thai muộn trong 3 tháng giữa của thai kỳ (thai ngoài 16 tuần). Sau khi truyền nhỏ giọt qua thành bụng vào trong buồng ối, dung dịch này với liều được khuyên dùng, sẩy thai thường xảy ra trong vòng 72 giờ ở khoảng 97% người bệnh. Thuốc tiêm natri clorid 0,9% cũng được dùng làm dung môi pha tiêm truyền một số thuốc tương hợp.",Dung dịch nhỏ mắt,,,https://thuocbietduoc.com.vn/thuoc-19767/efticol-09.aspx
VD-2203-06,Dobixil 500mg,Cefadroxil monohydrate,"Chỉ định Cefadroxil
Cefadroxil được chỉ định điều trị các nhiễm khuẩn gây ra do các vi khuẩn nhạy cảm sau đây:Nhiễm khuẩn đường tiểu cấp, mãn, có biến chứng và tái phát. Nhiễm khuẩn da và cấu trúc da. Viêm họng và viêm amidan do streptococci tan huyết beta nhóm A, Cefadroxil có hiệu quả trong việc tiêu diệt hoàn toàn Streptococci ở vùng mũi hầu; tuy nhiên hiện tại chưa có các số liệu chứng tỏ hiệu quả của Cefadroxil trong phòng ngừa thấp khớp cấp. Nhiễm khuẩn đường hô hấp dưới, ví dụ: viêm phổi, đợt cấp viêm phế quản mãn, giãn phế quản, vv... Nhiễm khuẩn xương và khớp.",Viên nang,,,https://thuocbietduoc.com.vn/thuoc-5598/dobixil-500mg.aspx
VN-7014-02,Progesterone,Progesterone,"Chỉ định Progesterone
Ðường uống: Các rối loạn có liên quan đến sự thiếu progesterone, nhất là trong các trường hợp: - Hội chứng tiền kinh nguyệt, - Kinh nguyệt không đều do rối loạn rụng trứng hoặc không rụng trứng, - Bệnh vú lành tính, đau vú, - Tiền mãn kinh, - Liệu pháp thay thế hormone trong giai đoạn mãn kinh (bổ sung cho liệu pháp estrogene). 
Ðường âm đạo: - Thay thế progesterone trong các trường hợp thiếu progesterone hoàn toàn ở phụ nữ bị lấy buồng trứng (chương trình hiến noãn bào), - Bổ sung cho pha hoàng thể trong chu kỳ thụ tinh trong ống nghiệm (FIV), - Bổ sung cho pha hoàng thể trong chu kỳ tự phát hoặc được tạo ra, trong trường hợp khả năng sinh sản kém hoặc vô sinh nguyên phát hay thứ phát nhất là do rối loạn rụng trứng,
 - Trong trường hợp bị đe dọa sẩy thai hoặc phòng ngừa trong trường hợp bị sẩy thai liên tiếp do suy hoàng thể, cho đến tuần thứ 12 sau khi tắt kinh, - Trong tất cả các chỉ định khác của progesterone, đường âm đạo được dùng để thay thế cho đường uống trong các trường hợp: - Có tác dụng ngoại ý của progesterone (bị buồn ngủ sau khi uống thuốc), - Chống chỉ định đường uống (bị bệnh gan).",Dung dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-18398/progesterone.aspx
VN-18595-15,Amoksiklav Quicktabs 625 mg,Amoxicillin (dưới dạng Amoxicllin trihydrat) 500mg; Acid clavulanic (dưới dạng Kali clavulanat) 125mg,"Chỉ định Clavulanic acid
Nhiễm khuẩn nặng đường hô hấp trên: viêm amidan, viêm xoang, viêm tai giữa đã được điều trị bằng các kháng sinh thông thường nhưng không đỡ. 
Nhiễm khuẩn đường hô hấp dưới bởi các chủng H.influenza và Branhamella catarrbalis sản sinh beta - lactamase: viêm phế quản cấp và mạn, viêm phổi - phế quản. 
Nhiễm khuẩn nặng đường tiết niệu - sinh dục bởi các chủgn E.coli, Klebsiella và Enterobacter sản sinh: viêm bàng quang, viêm niệu đạo, viêm bể thận (nhiễm khuẩn đường sinh dục nữ). 
Nhiễm khuẩn da và mô mềm: mụn nhọt, áp xe, nhiễm khuẩn máu sản khoa, nhiễm khuẩn trong ổ bụng (tiêm tĩnh mạch trong nhiễm khuẩn máu, viêm phúc mạc, nhiễm khuẩn sau mổ, đề phòng nhiễm khuẩn trong khi mổ dạ dày - ruột,tử cung, đầu và cổ, tim, thận, thay khớp và đường mật).",Viên phân tán,,,https://thuocbietduoc.com.vn/thuoc-47555/amoksiklav-quicktabs-625-mg.aspx
VN-9440-10,Troxevasin 300mg,Troxerutin,"Chỉ định Troxerutin
Điều trị Suy tĩnh mạch mãn tính, Bệnh trĩ, Bệnh võng mạc tiểu đường",Viên nang,,,https://thuocbietduoc.com.vn/thuoc-32452/troxevasin-300mg.aspx
VN-10286-05,Cefotaxime,Cefotaxime,"Chỉ định Cefotaxime
Nhiễm khuẩn đường niệu-sinh dục. 
Viêm mô tế bào, chốc lở, nhọt, áp-xe. 
Viêm tai giữa, viêm xoang, viêm phổi, viêm phế quản. 
Viêm ruột, lỵ trực khuẩn. 
Viêm màng não. 
Nhiễm khuẩn huyết, bệnh lậu
Dự phòng nhiễm khuẩn trong phẫu thuật.",Bột pha dung dịch tiêm,,,https://thuocbietduoc.com.vn/thuoc-6171/cefotaxime.aspx
VD-30174-18,Cisteine 100,Mỗi 5ml chứa: Carbocistein 100mg,"Chỉ định Carbocisteine
Rối loạn cấp hay mãn tính đường hô hấp trên và dưới đi kèm theo tăng tiết đàm nhầy đặc và dai dẳng như viêm mũi, viêm xoang, viêm phế quản cấp và mãn, khí phế thũng và giãn phế quản.",Siro,,,https://thuocbietduoc.com.vn/thuoc-55598/cisteine-100.aspx
VD-30898-18,Lytoin,Codein phosphat hemihydrat 10 mg; Guaifenesin 100 mg,"Chỉ định Codeine
Ho khan. Đau nhẹ và vừa.",Viên nang mềm,,,https://thuocbietduoc.com.vn/thuoc-59827/lytoin.aspx
VN-15744-12,Mosismin,DL-Methionine ........ 9.2mg L-Leucine .............. 9.15mg L-Valine ................... 5.0mg L-Isoleucine ............. 5.0mg L-Threonine ............. 5.0mg L-Tryptophan............ 5.0mg L-Phenylalanine....... 5.0mg Lysinehydrochloride 25.0 mg Retinol palmitate... 1.000IU Ergocalciferol........... 100IU Tocopherolacetat.... 5.0mg Thiamine nitrate....... 2.5mg Riboflavin................... .5mg Nicotinamide.......... 10.0mg Pyridoxin HCl......... 5.0mg Calcium pantothenat 2.5mg Cyanocobalamin .... 0.5mcg Folic acid .............. 100mcg Ascorbic acid.......... 25.0mg,"Chỉ định
Cung cấp các Acid amin và Vitamin cho cơ thể, giảm mệt mỏi trong thời gian điều trị bệnh, phụ nữ mang thai và cho con bú.",Viên nang cứng,,,https://thuocbietduoc.com.vn/thuoc-43317/mosismin.aspx
VN-11884-11,Human Albumin Grifols 20%,Human albumin,"Chỉ định Albumin
Albumin 5%: 1. Ðiều trị sốc giảm thể tích. 2. Giảm albumin máu trầm trọng. Tuy nhiên dung dịch albumin chỉ điều trị triệu chứng, nên phối hợp với điều trị nguyên nhân. 3. Phụ trợ trong lọc thận nhân tạo và phẫu thuật có tuần hoàn ngoài cơ thể. Trong trường hợp đòi hỏi dịch keo nồng độ cao và ít cần dịch nên sử dụng loại 25%. Albumin 20% và 25%: 1. Ðiều trị sốc giảm thể tích. 2. Phụ trợ trong lọc thận nhân tạo cho bệnh nhân lọc thận dài ngày hoặc cho bệnh nhân bị quá tải tuần hoàn và không dung nạp thể tích lớn dung dịch muối trong điều trị sốc hoặc hạ huyết áp. 3. Trong các phẫu thuật tim phổi; tuy nhiên, chưa xác lập được chế độ điều trị tối ưu. Có thể được chỉ định: - Hội chứng suy hô hấp cấp ở người lớn (ARDS). - Chấn thương nặng hoặc phẫu thuật làm sự mất albumin gia tăng hoặc sự tổng hợp không đầy đủ. - Thận hư cấp không đáp ứng điều trị với cyclophosphamid hoặc steroid. Ðiều trị bằng steroid có thể làm tăng phù nề mà có thể đáp ứng với điều trị phối hợp albumin và thuốc lợi tiểu. - Suy gan cấp hoặc cổ chướng, điều trị thay đổi tùy từng bệnh nhân. Trừ phi nguyên nhân gây giảm albumin huyết được điều chỉnh, truyền albumin chỉ làm mất các triệu chứng. Không có lý do giá trị nào dùng albumin như chất dinh dưỡng truyền tĩnh mạch. Sử dụng cho trẻ em: Albumin (Người) U.S.P. 20% và 25% được chỉ định phối hợp truyền thay máu trong điều trị tăng bilirubin huyết sơ sinh. Sự sử dụng ALBUMIN (NGƯỜI) U.S.P, Albumin cho trẻ em chưa được đánh giá trên lâm sàng. Vì vậy, bác sĩ nên cân nhắc giữa nguy cơ và lợi ích của sự dùng Albumin (Người) cho trẻ em.",Dung dịch truyền,,,https://thuocbietduoc.com.vn/thuoc-38005/human-albumin-grifols-20.aspx
VN-3099-07,Hyzaar,"Losartan Potassium, Hydrochlorothiazide","Chỉ định Losartan
Tăng huyết áp: Kalium Losartan được chỉ định để điều trị tăng huyết áp. - Giảm nguy cơ mắc và tử vong do tim mạch cho người bệnh tăng huyết áp có phì đại thất trái. Kalium Losartan được chỉ định để làm giảm nguy cơ mắc và tử vong do tim mạch được đo bằng các biến cố phối hợp như tử vong do tim mạch, đột quỵ, nhồi máu cơ tim trên người bệnh tăng huyết áp có phì đại thất trái. - Bảo vệ thận cho người bệnh tiểu đường loại 2 có protein niệu: Kalium Losartan được chỉ định để làm chậm lại quá trình diễn tiến bệnh thận, được xác định bằng bằng sự giảm tỷ lệ biến cố phối hợp tăng gấp đôi hàm lượng creatinine máu, giai đoạn cuối của bệnh thận (cần thẩm phân lọc máu hoặc ghép thận), hoặc tử vong và làm giảm protein niệu.",Viên nén bao phim-50/12.5mg,,,https://thuocbietduoc.com.vn/thuoc-14547/hyzaar.aspx
VD-25517-16,Obimin,"Vitamin A 3000 đơn vị USP; Vitamin D 400 đơn vị USP; Vitamin C 100mg; Vitamin B1 10mg; Vitamin B2 2,5mg; Vitamin B6 15mg; Vitamin B12 4mcg; Niacinamide 20mg; Calcium pantothenate 7,5mg; Acid Folic 1mg; Ferrous fumarate 90mg; Calcium lactate pentahydrate 2","Chỉ định Vitamin B1
Phòng và điều trị bệnh Beri-beri. Điều trị các trường hợp đau nhức dây thần kinh lưng, hông và dây thần kinh sinh ba( phối hợp với các vitamin B6 và B12); Các trường hợp mệt mỏi, kém ăn, suy dinh dưỡng và rối loạn tiêu hoá.",Viên bao phim,,,https://thuocbietduoc.com.vn/thuoc-53520/obimin.aspx
VD-26402-17,Ceftriaxon EG 1g/10ml,Ceftriaxon (dưới dạng Ceftriaxon natri) 1g,"Chỉ định Ceftriaxone
Điều trị nhiễm khuẩn nặng do đã kháng cephalosporin thế hệ I và thế hệ II: Nhiễm khuẩn huyết. Viêm màng não, áp xe não, viêm màng trong tim. Nhiễm khuẩn ổ bụng, xương khớp, da & mô liên kết. Nhiễm khuẩn đường hô hấp nặng, đặc biệt là viêm phổi, viêm tai giữa. Nhiễm khuẩn thận, tiết niệu, sinh dục, bao gồm lậu cầu. Nhiễm khuẩn ở người suy giảm sức đề kháng. Phòng ngừa nhiễm khuẩn trong phẫu thuật.",Thuốc bột pha tiêm,,,https://thuocbietduoc.com.vn/thuoc-54363/ceftriaxon-eg-1g10ml.aspx
VN-20956-18,Viatrinil,Mỗi 1ml dung dịch chứa: Granisetron (dưới dạng Granisetron hydroclorid) 1mg,"Chỉ định Granisetron
Phòng/điều trị buồn nôn, nôn do hóa/xạ trị. 
Granisetron cũng được sử dụng để ngăn ngừa và điều trị buồn nôn và nôn sau phẫu thuật ở người lớn.",Dung dịch tiêm/ truyền tĩnh mạch,,,https://thuocbietduoc.com.vn/thuoc-58784/viatrinil.aspx
VD-3079-07,Danapha Telfadin 180,Fexofenadine hydrochloride,"Chỉ định Fexofenadine
- Ðiều trị các triệu chứng viêm mũi dị ứng ở người lớn và trẻ em ≥ 12 tuổi. 
- Những triệu chứng được điều trị có hiệu quả là: hắt hơi, chảy nước mũi, ngứa vòm miệng và họng, mắt ngứa đỏ và chảy nước mắt.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-11366/danapha-telfadin-180.aspx
VN-17440-13,Mirgy capsules 100mg,Gabapentin 100mg,"Chỉ định Gabapentin
Ðộng kinh: 
- Gabapentin được chỉ định như là đơn trị liệu trong điều trị các cơn động kinh cục bộ có hay không kèm theo các cơn toàn thể thứ phát ở người lớn và trẻ em trên 12 tuổi. Ðộ an toàn và hiệu quả của phác đồ đơn trị liệu gabapentin ở trẻ em dưới 12 tuổi còn chưa được thiết lập. 
- Gabapentin được chỉ định như một điều trị hỗ trợ trong điều trị các cơn động kinh cục bộ có hay không kèm theo các cơn toàn thể thứ phát ở người lớn và trẻ em từ 3 tuổi trở lên. Ðộ an toàn và hiệu quả của phác đồ điều trị hỗ trợ sử dụng gabapentin ở bệnh nhân nhi khoa dưới 3 tuổi vẫn chưa được thiết lập. 
- Ðau thần kinh: Gabapentin được chỉ định điều trị đau thần kinh ở người lớn từ 18 tuổi trở lên. Ðộ an toàn và hiệu quả của gabapentin ở bệnh nhân dưới 18 tuổi chưa được thiết lập.",Viên nang cứng,,,https://thuocbietduoc.com.vn/thuoc-45263/mirgy-capsules-100mg.aspx
VNA-1139-03,Furocap 250,Cefuroxime,"Chỉ định Cefuroxime
Nhiễm khuẩn đường hô hấp dưới như viêm phổi và viêm phế quản cấp và mạn.  Nhiễm khuẩn đường hô hấp trên như nhiễm khuẩn ở tai, mũi, họng ví dụ như viêm tai giữa, viêm xoang, viêm amydale và viêm họng.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-6779/furocap-250.aspx
VN-17443-13,Zeffix,Lamivudine 100mg,"Chỉ định Lamivudine
Ðiều trị viêm gan siêu vi B mạn tính ở bệnh nhân từ 16 tuổi trở lên có bằng chứng sao chép của virus viêm gan siêu vi B (HBV), và tình trạng viêm gan tiến triển kèm theo một hoặc nhiều điều kiện sau đây: - Alanin aminotransferase (ALT) huyết thanh tăng gấp 2 lần hay hơn so với bình thường. - Xơ gan. - Bệnh gan mất bù. - Bệnh gan dạng viêm hoại tử thể hiện trên sinh thiết. - Tổn thương hệ miễn dịch. - Ghép gan.",Viên nén bao phim,,,https://thuocbietduoc.com.vn/thuoc-45580/zeffix.aspx
